河北1套联通,#genre#
怀旧剧场高清,http://101.17.113.135:9999/rtp/239.253.93.252:6430
风云音乐高清,http://101.17.113.135:9999/rtp/239.253.93.253:6431
风云足球高清,http://101.17.113.135:9999/rtp/239.253.93.254:6432
高尔夫网球高清,http://101.17.113.135:9999/rtp/239.253.93.122:6465
武术世界高清,http://101.17.113.135:9999/rtp/239.253.93.46:6434
兵器科技高清,http://101.17.113.135:9999/rtp/239.253.93.47:6435
世界地理高清,http://101.17.113.135:9999/rtp/239.253.92.131:6113
文物宝库高清,http://101.17.113.135:9999/rtp/239.253.93.180:6437
女性时尚高清,http://101.17.113.135:9999/rtp/239.253.92.144:6114
文化精品高清,http://101.17.113.135:9999/rtp/239.253.93.175:6439
早期教育高清,http://101.17.113.135:9999/rtp/239.253.93.164:6440
梨园高清,http://101.17.113.135:9999/rtp/239.253.93.133:6441
CCTV-4K,http://101.17.113.135:9999/rtp/239.253.93.134:6631
CCTV4中文国际欧洲,http://101.17.113.135:9999/rtp/239.253.93.192:6370
CCTV4中文国际美洲,http://101.17.113.135:9999/rtp/239.253.93.193:6371
CGTN 英文记录,http://101.17.113.135:9999/rtp/239.253.93.195:6373
CGTN 西班牙语,http://101.17.113.135:9999/rtp/239.253.93.196:6374
CGTN 法语,http://101.17.113.135:9999/rtp/239.253.93.197:6375
CGTN 阿拉伯语,http://101.17.113.135:9999/rtp/239.253.93.198:6376
CGTN 俄语,http://101.17.113.135:9999/rtp/239.253.93.199:6377
慢直播1,http://101.17.113.135:9999/rtp/239.253.94.1:6600
慢直播2,http://101.17.113.135:9999/rtp/239.253.94.2:6601
慢直播3,http://101.17.113.135:9999/rtp/239.253.94.3:6602
慢直播4,http://101.17.113.135:9999/rtp/239.253.94.4:6603
慢直播5,http://101.17.113.135:9999/rtp/239.253.94.5:6604
慢直播6,http://101.17.113.135:9999/rtp/239.253.94.6:6605
慢直播7,http://101.17.113.135:9999/rtp/239.253.94.7:6606
慢直播8,http://101.17.113.135:9999/rtp/239.253.94.8:6607
慢直播9,http://101.17.113.135:9999/rtp/239.253.94.9:6608
慢直播10,http://101.17.113.135:9999/rtp/239.253.94.10:6609
慢直播11,http://101.17.113.135:9999/rtp/239.253.94.11:6610
慢直播12,http://101.17.113.135:9999/rtp/239.253.94.12:6611
慢直播13,http://101.17.113.135:9999/rtp/239.253.94.13:6612
